fundpreferredid,ccy_cde,FR_market_value,IS_BENCHMARK,SORT_CODE,SORT_CODE_CHAR,FR_CLASS_CODE_DESC,CLASS_LEVEL,ITD,10MTH,10YR,11MTH,15YR,1MTH,30YR,1YR,20YR,25YR,2MTH,2YR,3MTH,3YR,4MTH,4YR,5MTH,5YR,6MTH,6YR,7MTH,7YR,8MTH,8YR,9MTH,9YR,QTD,YTD,FYTD,NODE_INCEPTION_DATE,PERIOD_END_DATE,AS_OF
9999-03-1/3,USD,,Y,215,120.215.000.000,MSCI AC World ex US,2,5.064046,12.3365,3.8418,7.2627,6.2094,-0.0951,,11.6236,,,2.805,12.1682,0.959,0.459,4.1149,8.3057,6.7508,5.5472,5.6905,4.8252,11.0006,5.1721,20.9923,6.9708,16.0003,4.9055,0.959,5.6905,5.6905,8/1/2005 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,364764.66,N,130,130.000.000,Fixed Income,1,3.1274,4.0517,1.628,3.8844,2.48,0.6237,,4.0698,2.7073,,0.9671,2.9316,0.7693,-0.5151,1.0081,0.6861,1.193,1.188,1.2855,1.892,2.5755,1.7763,5.0876,1.5553,4.9173,1.741,0.7693,1.2855,1.2855,3/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,317859.48,N,230,130.230.000,Core,2,1.6348,3.4403,1.6067,3.5334,,0.5789,,3.7414,,,0.7965,3.056,0.7747,-0.061,0.8995,0.4294,1.169,1.1078,1.2531,1.8053,1.984,1.5759,3.4907,1.2348,3.7471,1.6282,0.7747,1.2531,1.2531,11/1/2013 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,317859.48,N,360,130.230.360,Core Tax Exempt,3,1.4793,3.4403,,3.5334,,0.5789,,3.7414,,,0.7965,3.056,0.7747,-0.061,0.8995,0.4294,1.169,1.1078,1.2531,1.8053,1.984,1.5759,3.4907,,3.7471,,0.7747,1.2531,1.2531,6/1/2017 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,,Y,360,130.230.360.000,Bloomberg Muni 1 to 10 yr,3,1.522518,2.7529,,1.9612,,1.1297,,2.3098,,,0.4648,2.2651,-0.405,-0.3529,-0.5116,0.3355,-0.4379,1.0255,-0.7733,1.756,0.8471,1.591,4.8813,,4.6445,,-0.405,-0.7733,-0.7733,6/1/2017 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,46905.18,N,245,130.245.000,Unconstrained and Other,2,1.5074,,,,,0.9269,,,,,2.1361,,0.7327,,1.7458,,1.3553,,1.5074,,,,,,,,0.7327,1.5074,1.5074,12/1/2023 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,,Y,245,130.245.000.000,Bloomberg U.S. Aggregate,2,3.089623,,,,,0.9467,,,,,2.658,,0.0651,,0.9891,,-0.4377,,-0.7111,,,,,,,,0.0651,-0.7111,-0.7111,12/1/2023 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,98621.59,N,140,140.000.000,Alternatives and Other,1,0.3363,17.2584,-0.272,15.4834,,0.6855,,17.9161,,,4.6348,9.6725,9.5873,-0.7135,12.1067,4.6006,13.1706,1.3912,11.5998,0.4741,17.2287,1.4257,22.9573,1.5636,20.7637,1.3526,9.5873,11.5998,11.5998,11/1/2013 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,49185.06,N,255,140.255.000,Absolute Return,2,2.2935,28.5148,1.7032,28.8592,2.2935,0.3594,,30.6859,,,3.2425,17.8175,20.8551,3.5178,23.3451,5.8827,24.8127,3.2324,27.4529,2.0572,28.8977,2.449,27.4079,2.9324,27.1233,2.9828,20.8551,27.4529,27.4529,7/1/2009 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,,Y,255,140.255.000.000,HFRX Global Hedge Fund Index,2,2.005672,4.5302,1.5262,4.8731,2.0057,0.3138,,5.4193,,,0.9144,3.3451,0.3699,0.4431,1.6303,3.2179,2.5612,3.1921,2.8914,2.3165,4.3174,2.3389,5.4998,2.7897,4.6364,1.8181,0.3699,2.8914,2.8914,7/1/2009 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,49436.53,N,260,140.260.000,Real Assets,2,-2.8853,6.0147,-4.2149,2.639,,1.0121,,5.4726,,,6.0575,-0.1563,-1.3831,-3.8945,1.1149,7.3173,1.837,2.4308,-2.8237,1.2341,5.6888,2.6547,17.7536,1.8659,13.7291,-0.8293,-1.3831,-2.8237,-2.8237,11/1/2013 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,49436.53,N,255,140.260.255,Real Estate,3,3.9785,6.0147,3.5441,2.639,,1.0121,,5.4726,,,6.0575,-0.1563,-1.3831,-3.8945,1.1149,4.9361,1.837,1.4815,-2.8237,2.6822,5.6888,3.319,17.7536,2.8403,13.7291,3.8988,-1.3831,-2.8237,-2.8237,4/1/2013 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,,Y,255,140.260.255.000,FTSE EPRA/NAREIT Dev,3,3.381262,5.0957,2.8206,1.6136,,0.4917,,5.4766,,,3.9617,0.7609,-2.2113,-4.0008,1.314,4.4608,0.7511,0.1001,-3.2753,1.4459,6.0399,2.1518,17.353,2.0022,11.769,3.1062,-2.2113,-3.2753,-3.2753,4/1/2013 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-03-1/3,USD,98621.59,N,141,141.000.000,Alternatives and Other Ex Private Investments,1,2.227,17.2584,-0.272,15.4834,2.227,0.6855,,17.9161,,,4.6348,9.6725,9.5873,-0.7135,12.1067,4.6006,13.1706,1.3912,11.5998,0.4741,17.2287,1.4257,22.9573,1.5636,20.7637,1.3526,9.5873,11.5998,11.5998,7/1/2009 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,1389107.26,N,1,001.000.000,Total Account Gross,0,4.4864,9.438,5.1677,7.3705,7.0923,0.7674,,9.7543,5.5861,,3.0088,8.6204,-0.021,1.1739,2.1348,7.575,4.4911,5.4627,4.4488,5.0222,8.8281,5.4491,15.6705,6.243,13.0537,5.5021,-0.021,4.4488,4.4488,2/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,1389107.26,N,2,002.000.000,Total Account Net,0,3.6399,8.7093,4.5725,6.5828,6.4643,0.6997,,8.8758,4.8827,,2.8718,7.7517,-0.2214,0.3777,1.8625,6.7654,4.1431,4.7404,4.0306,4.3562,8.3203,4.8161,15.0557,5.6286,12.3766,4.9058,-0.2214,4.0306,4.0306,2/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,1389107.26,N,3,003.000.000,Total Account with PI,0,4.4861,9.438,5.1677,7.3705,7.0918,0.7674,,9.7543,5.5857,,3.0088,8.6204,-0.021,1.1739,2.1348,7.575,4.4911,5.4627,4.4488,5.0222,8.8281,5.4491,15.6705,6.243,13.0537,5.5021,-0.021,4.4488,4.4488,2/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,1389107.26,N,4,004.000.000,Total Account with PI net,0,5.3222,8.7093,,6.5828,,0.6997,,8.8758,,,2.8718,7.7517,-0.2214,0.3777,1.8625,6.7654,4.1431,4.7404,4.0306,4.3562,8.3203,4.8161,15.0557,,12.3766,,-0.2214,4.0306,4.0306,8/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,866038.45,N,120,120.000.000,Equity,1,5.0008,12.9725,7.4872,9.8834,10.292,0.546,,13.788,7.1893,,4.2511,13.0842,-0.153,2.8783,3.2739,11.2912,7.1919,8.0486,7.0994,7.1104,13.1884,7.7146,22.0612,9.0284,17.9362,7.6925,-0.153,7.0994,7.0994,2/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,583831.43,N,205,120.205.000,U.S. Large Cap,2,6.0631,14.0325,9.4296,11.7697,12.2464,1.4588,,15.2999,8.4741,,4.7951,14.5156,0.0732,4.396,3.5635,11.9691,7.5347,9.2413,8.5225,8.78,13.6881,9.4427,22.5298,10.4874,19.1414,9.5945,0.0732,8.5225,8.5225,2/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,,Y,205,120.205.000.001,S&P 500,2,7.760389,22.6318,12.8577,20.6792,14.8158,3.5882,,24.556,10.291,,8.7246,22.0497,4.2838,10.0132,7.6391,17.0119,13.3866,15.0455,15.2919,14.2609,20.5298,14.2771,31.5371,14.7233,28.7713,13.4783,4.2838,15.2919,15.2919,2/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,,Y,205,120.205.000.002,S&P 500 Equal Weighted,2,9.743126,11.5767,10.0358,8.0563,14.001,-0.4532,,11.7912,10.0591,,2.3532,12.7722,-2.6279,4.8435,1.7131,14.7996,5.9482,10.9396,5.0759,10.4742,12.284,10.6882,22.5429,11.4892,17.5466,10.4806,-2.6279,5.0759,5.0759,2/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,110530.15,N,210,120.210.000,U.S. Small Cap,2,4.5089,7.4421,5.8028,2.9622,10.6146,-2.0322,,8.7149,7.5467,,3.011,8.3973,-2.9479,-0.6986,0.7055,12.4527,3.9372,6.9063,-0.2603,4.175,12.1384,5.6103,21.2331,7.6088,14.0893,5.9234,-2.9479,-0.2603,-0.2603,5/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,,Y,210,120.210.000.000,Russell 2000,2,7.385476,9.1758,7.0032,3.714,11.2361,-0.925,,10.0565,7.8491,,4.0453,11.176,-3.2777,-2.5805,0.1848,10.6319,5.8495,6.9425,1.7326,5.1613,14.1627,6.8499,24.4955,8.9224,16.0051,7.0609,-3.2777,1.7326,1.7326,5/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,171676.87,N,215,120.215.000,International,2,5.0731,13.1504,3.581,8.3776,5.8842,-0.7961,,12.1817,5.0175,,3.2393,11.5825,0.9411,0.2824,3.9933,8.4255,8.2013,4.9718,7.4156,3.7562,12.2136,4.0282,21.0452,5.731,16.4835,3.858,0.9411,7.4156,7.4156,2/1/2004 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,,Y,215,120.215.000.000,MSCI AC World ex US,2,5.766653,12.3365,3.8418,7.2627,6.2094,-0.0951,,11.6236,5.7756,,2.805,12.1682,0.959,0.459,4.1149,8.3057,6.7508,5.5472,5.6905,4.8252,11.0006,5.1721,20.9923,6.9708,16.0003,4.9055,0.959,5.6905,5.6905,2/1/2004 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,483830.02,N,130,130.000.000,Fixed Income,1,3.1703,3.9934,1.5703,3.2885,2.3882,1.1929,,3.518,2.6791,,1.0181,2.5324,0.1087,-0.7603,0.1899,0.3639,0.1676,0.9635,0.1516,1.6889,2.2486,1.5699,6.7084,1.4943,5.9483,1.7169,0.1087,0.1516,0.1516,2/1/2000 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,400344.98,N,230,130.230.000,Core,2,1.5185,3.1713,1.4744,2.5766,,0.9366,,2.8327,,,0.5814,2.4758,-0.1896,-0.4529,-0.1941,0.1338,-0.3115,0.8698,-0.4153,1.6056,1.3958,1.405,5.3651,1.2476,4.8618,1.6134,-0.1896,-0.4153,-0.4153,11/1/2013 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,33892.15,N,358,130.230.358,Core Taxable,3,2.6261,3.3737,,2.7861,,0.9202,,2.737,,,2.6456,,0.1741,,0.982,,-0.4131,,-0.6212,,3.0377,,7.6835,,6.0149,,0.1741,-0.6212,-0.6212,12/1/2022 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,,Y,358,130.230.358.000,Bloomberg U.S. Aggregate,3,2.698267,3.3625,,2.7023,,0.9467,,2.6307,,,2.658,,0.0651,,0.9891,,-0.4377,,-0.7111,,3.0896,,7.7581,,6.0576,,0.0651,-0.7111,-0.7111,12/1/2022 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,366452.83,N,360,130.230.360,Core Tax Exempt,3,2.4408,3.1526,1.5124,2.5571,1.8177,0.9378,,2.8412,2.2457,,0.3947,2.4607,-0.223,-0.4628,-0.3012,0.1264,-0.3021,0.8638,-0.3961,1.6006,1.2459,1.4007,5.1548,1.2439,4.756,1.6104,-0.223,-0.3961,-0.3961,12/1/2001 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,,Y,360,130.230.360.000,Bloomberg Muni 1 to 10 yr,3,3.166312,2.7529,1.7854,1.9612,2.5809,1.1297,,2.3098,2.9965,,0.4648,2.2651,-0.405,-0.3529,-0.5116,0.3355,-0.4379,1.0255,-0.7733,1.756,0.8471,1.591,4.8813,1.4108,4.6445,1.7906,-0.405,-0.7733,-0.7733,12/1/2001 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,83485.04,N,235,130.235.000,High Yield,2,6.072,8.1287,,6.8554,,2.4435,,6.9496,,,3.1693,,1.5659,,2.074,,2.531,,2.9626,,6.5433,,13.6357,,11.4784,,1.5659,2.9626,2.9626,2/1/2023 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-04-1/4,USD,,Y,235,130.235.000.001,60 Bmb Muni HY/30 Bmb Muni BAA/10 Bmb Mu,2,5.281507,8.5138,,6.7275,,2.3508,,7.527,,,2.8759,,1.9802,,3.0523,,3.6108,,3.0554,,5.864,,13.6672,,12.1222,,1.9802,3.0554,3.0554,2/1/2023 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,173054.26,N,1,001.000.000,Total Account Gross,0,6.5383,10.6519,7.9617,10.1132,8.7095,1.7968,,12.5516,6.8127,5.615,3.4326,13.7701,-0.4852,4.8497,1.2458,10.7416,4.2966,8.4222,5.0306,7.9369,9.4517,8.1216,17.9646,8.7454,15.4188,8.3167,-0.4852,5.0306,5.0306,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,173054.26,N,2,002.000.000,Total Account Net,0,6.1668,10.4599,7.7749,9.9062,8.4972,1.7764,,12.3236,6.5642,5.2899,3.3914,13.5676,-0.545,4.6794,1.164,10.5637,4.1906,8.2461,4.9091,7.7596,9.3095,7.9423,17.7943,8.5623,15.2352,8.1317,-0.545,4.9091,4.9091,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,173054.26,N,3,003.000.000,Total Account with PI,0,6.5382,10.6519,7.9617,10.1132,8.7094,1.7968,,12.5516,6.8127,5.615,3.4326,13.7701,-0.4852,4.8497,1.2458,10.7416,4.2966,8.4222,5.0306,7.9369,9.4517,8.1216,17.9646,8.7454,15.4188,8.3167,-0.4852,5.0306,5.0306,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,173054.26,N,4,004.000.000,Total Account with PI net,0,8.3096,10.4599,,9.9062,,1.7764,,12.3236,,,3.3914,13.5676,-0.545,4.6794,1.164,10.5637,4.1906,8.2461,4.9091,7.7596,9.3095,7.9423,17.7943,,15.2352,,-0.545,4.9091,4.9091,8/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,126335.37,N,120,120.000.000,Equity,1,8.6481,13.3768,10.4812,12.8011,12.432,2.1087,,16.091,8.928,6.5231,4.5345,17.709,-0.7218,6.6524,1.6869,14.5066,5.9928,11.0177,6.8754,10.1124,12.4186,10.51,23.044,11.6035,19.5249,10.8715,-0.7218,6.8754,6.8754,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,105686.9,N,205,120.205.000,U.S. Large Cap,2,8.9099,13.8704,11.2413,13.9839,12.9472,2.8112,,16.9683,9.3022,6.8158,4.7152,18.5825,-0.5572,7.2862,1.6926,14.8323,5.9435,11.6539,7.363,11.1328,12.4431,11.5288,23.3444,12.5643,20.283,11.7194,-0.5572,7.363,7.363,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,,Y,205,120.205.000.000,S&P 500,2,9.976645,22.6318,12.8577,20.6792,14.8158,3.5882,,24.556,10.291,7.6703,8.7246,22.0497,4.2838,10.0132,7.6391,17.0119,13.3866,15.0455,15.2919,14.2609,20.5298,14.2771,31.5371,14.7233,28.7713,13.4783,4.2838,15.2919,15.2919,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,9173.24,N,210,120.210.000,U.S. Small Cap,2,9.6939,8.2456,,3.5676,,-1.7795,,9.4311,,,3.4219,11.8403,-2.9928,3.0559,0.6632,15.9302,4.9742,10.0488,1.6979,6.9498,12.6826,8.1141,22.2665,,15.2608,,-2.9928,1.6979,1.6979,10/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,,Y,210,120.210.000.000,Russell 2000,2,8.009431,9.1758,,3.714,,-0.925,,10.0565,,,4.0453,11.176,-3.2777,-2.5805,0.1848,10.6319,5.8495,6.9425,1.7326,5.1613,14.1627,6.8499,24.4955,,16.0051,,-3.2777,1.7326,1.7326,10/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,11475.23,N,215,120.215.000,International,2,6.5808,13.0269,,9.8758,,-0.9709,,13.6363,,,3.7792,14.7845,-0.3794,4.0476,2.4603,11.1076,7.2765,6.845,6.6206,4.9796,12.1223,5.1221,21.0815,,16.2197,,-0.3794,6.6206,6.6206,10/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,,Y,215,120.215.000.000,MSCI AC World ex US,2,6.283087,12.3365,,7.2627,,-0.0951,,11.6236,,,2.805,12.1682,0.959,0.459,4.1149,8.3057,6.7508,5.5472,5.6905,4.8252,11.0006,5.1721,20.9923,,16.0003,,0.959,5.6905,5.6905,10/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,41206.51,N,130,130.000.000,Fixed Income,1,3.2185,3.3087,1.5826,2.7126,2.0684,1.0403,,2.9971,2.4746,2.9796,0.5449,2.6192,-0.1607,-0.3602,-0.2168,0.2039,-0.1922,0.9262,-0.2452,1.6528,1.3993,1.4457,5.314,1.2836,4.9146,1.6522,-0.1607,-0.2452,-0.2452,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,41206.51,N,230,130.230.000,Core,2,2.3343,3.3087,1.5282,2.7126,2.0008,1.0403,,2.9971,,,0.5449,2.6192,-0.1607,-0.3602,-0.2168,0.2039,-0.1922,0.9262,-0.2452,1.6528,1.3993,1.4483,5.314,1.2854,4.9146,1.6534,-0.1607,-0.2452,-0.2452,2/1/2005 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,41206.51,N,360,130.230.360,Core Tax Exempt,3,2.3864,3.3087,1.582,2.7126,2.0681,1.0403,,2.9971,,,0.5449,2.6192,-0.1607,-0.3602,-0.2168,0.2039,-0.1922,0.9262,-0.2452,1.6528,1.3993,1.4455,5.314,1.283,4.9146,1.6515,-0.1607,-0.2452,-0.2452,2/1/2005 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-05-1/5,USD,,Y,360,130.230.360.000,Bloomberg Muni 1 to 10 yr,3,2.883106,2.7529,1.7854,1.9612,2.5809,1.1297,,2.3098,,,0.4648,2.2651,-0.405,-0.3529,-0.5116,0.3355,-0.4379,1.0255,-0.7733,1.756,0.8471,1.591,4.8813,1.4108,4.6445,1.7906,-0.405,-0.7733,-0.7733,2/1/2005 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,186112.33,N,1,001.000.000,Total Account Gross,0,6.9351,11.5734,7.8959,10.9839,8.8268,1.95,,13.3303,7.064,5.9189,4.4199,13.7522,0.3115,4.4736,2.297,10.2148,5.214,8.2249,5.9071,7.8651,10.7976,8.0085,19.6311,8.6196,16.7019,8.2119,0.3115,5.9071,5.9071,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,186112.33,N,2,002.000.000,Total Account Net,0,6.6864,11.4565,7.8545,10.8634,8.795,1.9259,,13.203,7.0019,5.7373,4.3711,13.6672,0.2516,4.4107,2.2224,10.1554,5.1234,8.1703,5.8119,7.8129,10.694,7.958,19.5148,8.5714,16.5841,8.1679,0.2516,5.8119,5.8119,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,186112.33,N,3,003.000.000,Total Account with PI,0,6.935,11.5734,7.8959,10.9839,8.8267,1.95,,13.3303,7.0639,5.9188,4.4199,13.7522,0.3115,4.4736,2.297,10.2148,5.214,8.2249,5.9071,7.8651,10.7976,8.0085,19.6311,8.6196,16.7019,8.2119,0.3115,5.9071,5.9071,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,186112.33,N,4,004.000.000,Total Account with PI net,0,8.3025,11.4565,,10.8634,,1.9259,,13.203,,,4.3711,13.6672,0.2516,4.4107,2.2224,10.1554,5.1234,8.1703,5.8119,7.8129,10.694,7.958,19.5148,,16.5841,,0.2516,5.8119,5.8119,8/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,135812.61,N,120,120.000.000,Equity,1,8.6801,14.6815,10.5762,14.0924,12.4964,2.2857,,17.434,8.9748,6.559,5.4377,18.3298,0.3141,7.0078,2.7819,14.7992,7.2177,11.2338,8.1319,10.296,13.686,10.6537,24.4085,11.7234,20.8674,10.9774,0.3141,8.1319,8.1319,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,107644.87,N,205,120.205.000,U.S. Large Cap,2,8.9671,15.6066,11.4101,15.7216,13.0614,3.1628,,18.7515,9.385,6.8798,5.916,19.4832,0.8109,7.8289,3.1556,15.2678,7.5277,11.9926,8.9999,11.4137,14.1573,11.7704,25.2247,12.7777,22.1167,11.9077,0.8109,8.9999,8.9999,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,,Y,205,120.205.000.000,S&P 500,2,9.976645,22.6318,12.8577,20.6792,14.8158,3.5882,,24.556,10.291,7.6703,8.7246,22.0497,4.2838,10.0132,7.6391,17.0119,13.3866,15.0455,15.2919,14.2609,20.5298,14.2771,31.5371,14.7233,28.7713,13.4783,4.2838,15.2919,15.2919,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,13618.49,N,210,120.210.000,U.S. Small Cap,2,9.6228,7.5761,,2.9291,,-1.7008,,8.7554,,,3.0853,11.5095,-3.5916,2.9159,0.0426,15.8193,4.3242,9.9521,1.0703,6.8628,11.9846,8.0351,21.5073,,14.5485,,-3.5916,1.0703,1.0703,10/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,,Y,210,120.210.000.000,Russell 2000,2,8.009431,9.1758,,3.714,,-0.925,,10.0565,,,4.0453,11.176,-3.2777,-2.5805,0.1848,10.6319,5.8495,6.9425,1.7326,5.1613,14.1627,6.8499,24.4955,,16.0051,,-3.2777,1.7326,1.7326,10/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,14549.25,N,215,120.215.000,International,2,6.4698,13.2677,,9.8835,,-0.1944,,13.9207,,,4.1885,14.2921,0.123,3.5828,2.8483,10.9766,8.0356,6.6896,7.1101,4.9161,12.3664,5.0323,21.1016,,16.2652,,0.123,7.1101,7.1101,10/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,,Y,215,120.215.000.000,MSCI AC World ex US,2,6.283087,12.3365,,7.2627,,-0.0951,,11.6236,,,2.805,12.1682,0.959,0.459,4.1149,8.3057,6.7508,5.5472,5.6905,4.8252,11.0006,5.1721,20.9923,,16.0003,,0.959,5.6905,5.6905,10/1/2016 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,46093.16,N,130,130.000.000,Fixed Income,1,3.7322,2.8859,0.7223,2.1147,1.7956,1.1379,,1.8868,2.6413,3.3959,1.9244,0.0865,0.0442,-3.5743,0.7566,-3.1605,-0.4798,-0.9763,-0.723,0.391,2.8583,0.1826,7.6277,0.0868,5.8286,0.608,0.0442,-0.723,-0.723,1/1/1996 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,46093.16,N,230,130.230.000,Core,2,2.4666,2.8859,0.7206,2.1147,1.78,1.1379,,1.8868,,,1.9244,0.0865,0.0442,-3.5743,0.7566,-3.1605,-0.4798,-0.9763,-0.723,0.391,2.8583,0.1807,7.6277,0.085,5.8286,0.6062,0.0442,-0.723,-0.723,2/1/2005 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,23101.61,N,358,130.230.358,Core Taxable,3,2.4779,2.8841,0.7206,2.1129,1.7945,0.9165,,1.885,,,2.842,0.0856,0.1624,-3.5749,1.0453,-3.161,-0.5158,-0.9766,-0.7248,0.3907,2.8565,0.1804,7.6258,0.0848,5.8267,0.6062,0.1624,-0.7248,-0.7248,2/1/2005 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,,Y,358,130.230.358.000,Bloomberg U.S. Aggregate,3,2.969083,3.3625,1.3459,2.7023,2.5021,0.9467,,2.6307,,,2.658,0.8307,0.0651,-3.0223,0.9891,-2.3568,-0.4377,-0.2321,-0.7111,1.0746,3.0896,0.8631,7.7581,0.7151,6.0576,1.2891,0.0651,-0.7111,-0.7111,2/1/2005 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,22991.55,N,360,130.230.360,Core Tax Exempt,3,0.5938,,,,,1.363,,,,,1.0197,,0.0183,,0.0314,,0.1373,,,,,,,,,,0.0183,,,1/1/2024 0:00,6/30/2024 23:59,7/31/2024 0:00
9999-06-1/6,USD,,Y,360,130.230.360.000,Bloomberg Muni 1 to 10 yr,3,-0.773321,,,,,1.1297,,,,,0.4648,,-0.405,,-0.5116,,-0.4379,,,,,,,,,,-0.405,,-0.7733,1/1/2024 0:00,6/30/2024 23:59,7/31/2024 0:00
